Designation,Experience,Salary,No. of Publications,No. of Chapters,Amount of consultancy work,Fund Received,Professional Membership
3,35,441630,35,1073,1531086,9646443,6
2,19,533273,9,684,1868469,8907162,13
2,9,162760,36,99,494689,1386315,6
3,25,401783,41,666,1649866,8056525,5
2,13,290582,19,370,489235,5193636,10
3,32,508074,10,469,2104064,3846954,10
3,37,792281,12,419,812544,5074500,12
2,22,341099,55,902,917411,10657823,10
2,23,780413,103,839,1814539,9528026,12
1,1,28629,4,96,77379,829477,12
1,3,90777,18,210,238131,1590321,1
1,1,46211,2,61,196649,389011,11
2,17,324708,42,603,959684,2229507,8
2,9,319486,40,373,661284,259299,3
2,19,386203,38,123,1034322,1779416,11
3,26,329177,26,589,1174584,5060111,4
3,25,333075,58,25,1037275,6803416,3
2,21,462745,21,934,1348032,5952670,6
3,27,559134,36,846,542565,4349187,1
1,6,255564,30,288,544386,1343880,5
3,36,336660,60,324,1899264,6234792,3
2,23,806506,80,34,1399929,891664,11
2,20,681330,100,900,1806190,9740890,1
2,14,238252,42,497,917266,4659949,3
3,33,441958,77,407,1777787,3269365,5
1,5,288550,40,450,871260,3243140,14
3,31,425382,41,20,1372070,1410417,7
2,12,138828,42,12,373944,4726254,11
3,35,521523,46,81,931560,4989390,10
3,32,501376,74,992,589792,2922730,5
1,6,239166,60,216,841980,923736,8
3,28,255472,46,793,1337849,8235332,7
1,1,29031,5,75,135873,811052,2
3,34,636548,90,816,1063984,4442814,15
2,20,331840,30,320,954000,912730,10
1,1,48118,8,43,132730,570221,3
3,31,310082,41,878,1788276,723767,11
1,4,248508,32,124,316044,2267524,8
2,7,168413,3,38,536658,364374,3
2,10,341680,40,140,707375,3669105,3
2,14,483315,70,518,400379,4347175,5
2,9,312799,22,301,546241,4171689,13
2,10,169630,10,295,610590,3871695,15
3,38,264353,63,734,2372821,8638514,14
2,11,400268,11,220,993877,4332449,5
2,10,149055,35,425,832955,4564795,3
3,27,260505,72,225,534267,5345496,1
2,16,216512,64,64,1413264,2614480,1
1,1,32195,2,45,161306,571198,12
2,20,591970,30,890,1669470,9213460,14
2,10,188840,10,330,941325,970475,13
1,1,46298,6,31,110544,179556,15
2,12,284802,54,528,528828,5417466,5
2,14,207382,63,322,1185436,4270840,9
3,36,534696,84,612,2166756,10854780,4
2,11,385209,55,220,933597,5444065,7
2,21,475954,21,640,1804110,4069086,12
2,8,88008,12,292,397312,3445064,4
3,25,309158,25,733,1424983,1612208,15
2,11,248171,27,484,288139,3982275,6
3,34,480420,22,793,812747,1241657,10
1,3,63846,18,27,226788,1083099,7
2,13,471393,65,78,708786,2095710,5
2,17,397018,59,76,1612186,7795520,6
2,7,117985,14,70,658514,2849395,4
3,33,541805,11,1100,1061599,7901069,12
2,17,185019,8,25,1252364,3249269,8
2,22,292314,11,517,1836780,9278038,14
3,40,814573,26,506,2475933,9493253,14
3,40,713813,53,1160,1579413,10801000,5
2,12,244932,48,42,1062924,5440938,10
2,19,454423,66,617,1327292,1805456,8
3,38,715565,101,1038,2484351,1944358,11
2,8,249600,36,100,741136,2487296,4
1,5,352125,40,305,807305,4554605,4
3,26,358046,78,606,1426654,5917782,14
2,10,244010,50,480,833880,2182185,9
3,40,954066,66,106,908600,7641733,6
3,31,411783,62,413,725555,9090450,7
1,3,89553,27,90,218871,1235559,8
2,16,246480,32,40,830328,1601552,3
2,7,228144,31,238,669364,696741,7
2,20,666380,30,860,1847750,4327400,8
3,34,408838,34,430,1624792,9815392,13
2,14,148169,14,616,1095360,2224082,7
3,32,498645,96,224,1031936,10098965,3
1,5,126840,50,45,800470,4449525,14
2,23,772961,80,759,1530052,8080935,7
2,8,159208,40,192,216360,377300,4
3,37,635832,24,296,1529456,8177382,9
3,33,815265,88,781,995291,10655623,15
2,9,320724,22,193,762538,2294851,12
3,33,823680,66,847,1996918,8561553,12
2,24,274284,96,888,1128060,5547732,1
2,12,346722,48,42,460668,1598598,4
3,31,736890,31,971,880048,3109868,15
2,8,288684,8,4,480016,1977628,13
1,5,211280,15,140,483175,3386300,6
3,37,284690,12,555,2353557,6520917,15
2,15,443362,45,315,451770,6502440,3
3,35,838903,81,268,1804810,5841873,5
2,18,632241,81,603,1077264,3047220,4
3,26,460486,17,485,1480604,6479035,10
3,39,495833,104,234,1515982,8597524,10
2,10,110685,20,170,555635,373290,7
1,4,157112,24,264,543072,1573616,4
3,38,614688,50,430,1945942,10949294,6
2,14,295771,63,700,953792,404936,2
2,13,161525,52,325,955708,2918961,4
1,3,108231,9,192,281319,546288,7
2,11,239552,38,242,581993,4569444,1
3,28,187861,65,476,1522313,3074614,8
3,31,510456,51,754,1201384,7352476,9
1,2,55622,12,70,393286,1572814,7
1,4,185060,12,352,725632,765076,14
3,29,554228,48,183,1503137,886269,12
3,29,679576,67,502,1593617,7987354,6
1,4,279404,8,288,759032,2830112,6
2,20,224530,10,1000,1791230,9078600,9
2,18,320058,9,603,664146,3045636,12
3,35,275566,81,606,1874238,1815835,8
3,37,457813,12,752,2262809,2384835,12
3,25,538525,50,400,527916,3324183,15
1,6,179502,18,204,1068564,5464152,11
3,38,930012,76,810,1894515,2654477,6
2,18,412272,27,468,682731,8108802,6
2,9,308385,4,450,460840,601182,6
3,26,630846,17,329,554441,1154226,12
2,23,576345,80,920,2140575,1177922,14
3,34,398661,11,952,1363388,5791798,5
1,4,133084,24,24,601048,851872,12
3,40,648146,106,1240,938120,10604426,5
2,13,340983,26,455,871344,4881545,15
2,16,253808,72,736,498312,6366872,5
2,16,386296,8,352,852576,6918728,6
3,36,817440,12,348,1037208,6017412,10
1,3,210033,21,54,164073,2570532,14
3,40,933120,13,440,2533333,9334560,7
3,34,444652,45,906,1476552,4969553,2
3,32,458805,42,1066,1875648,4903456,8
3,39,680316,52,585,1332773,5403606,7
2,20,335460,70,530,1050050,9300480,4
3,30,412620,20,700,1028880,7989890,7
1,6,256164,54,306,326190,2123484,1
2,12,237738,48,6,975780,5835054,3
3,30,623860,60,360,696710,6689360,1
2,15,170092,52,510,1062135,2503702,7
3,38,872429,50,633,2520122,10948648,8
2,12,400686,18,450,500904,4785126,13
2,12,266802,36,402,316236,4720098,2
2,24,681132,72,12,1516392,6421296,1
1,2,64652,2,38,357752,1332720,5
3,39,595036,117,1092,1869075,1484457,1
3,29,715062,29,773,999862,7877772,11
2,19,420213,38,361,1828617,1552480,9
3,36,788952,120,900,2099700,764256,10
2,16,303128,72,576,1240064,6481824,12
1,1,61465,1,97,78472,921400,13
1,5,118800,25,480,861535,1233345,1
2,17,436347,59,76,1415139,2075215,9
2,22,464013,66,462,554917,2937462,11
3,30,677290,60,320,1410120,9109840,14
3,40,927013,106,813,1652466,3203853,15
3,40,907080,80,906,1613373,1787373,11
2,12,122706,48,318,818040,4266360,2
1,4,276224,24,96,228064,3781708,4
2,10,296690,40,60,611300,4721540,11
1,3,167265,6,300,436257,978054,11
2,8,116860,28,16,430572,3867152,4
2,16,553344,56,8,981328,2150096,1
1,5,274340,30,350,833880,2747115,9
3,28,459097,74,242,1729364,7629010,10
3,28,612994,56,578,1058316,2317672,7
3,28,650962,56,728,579646,5436928,9
2,17,318588,25,93,926559,3319862,11
3,32,410368,21,746,765504,7639381,7
2,16,493440,72,336,1391296,3923600,7
2,20,420170,80,570,556560,8601860,1
2,14,300797,42,644,813113,6949026,4
3,26,387556,43,563,594360,7093181,13
2,12,261852,60,162,539136,5753034,8
3,30,263590,100,420,1151950,7759820,4
2,14,196945,21,546,1106483,1256171,14
1,4,116528,28,344,675448,3491580,2
2,23,803309,69,1115,2267179,4466864,5
3,39,481325,52,1079,2368119,10412636,1
3,26,188777,43,199,1010195,929396,1
2,24,771432,12,336,2339544,1000848,7
1,1,26116,5,95,159211,71932,2
3,34,688692,68,124,1409254,4286890,8
3,39,886509,130,988,1866163,8180445,11
3,32,432757,74,128,1135114,3156117,15
3,25,460208,25,408,570775,5989450,7
2,22,531322,99,209,1184425,10224687,4
2,17,171581,42,680,1091672,7675534,8
3,36,414564,48,516,847800,1143192,15
2,9,204088,40,324,321435,3648154,9
2,7,190512,7,126,217861,2221026,15
2,15,166177,7,337,1430610,2126340,7
2,19,290804,38,47,814596,5613559,13
3,37,686300,49,123,2189968,2060690,9
3,37,649905,61,185,1547808,6526800,2
3,40,768586,13,146,1354373,4741960,7
2,8,96340,16,264,778364,2687872,7
1,6,295116,18,132,648228,317868,6
2,14,222054,49,427,1013880,4851546,5
2,19,657428,85,104,1266321,3311301,5
3,38,861523,88,798,905856,7767402,13
1,4,225516,20,252,530948,756204,13
2,17,524203,68,246,608659,3597625,10
1,6,193398,6,468,534168,3795468,9
2,24,302016,12,288,1066248,11666748,9
1,4,101728,12,156,585920,2989300,3
3,30,332240,60,210,995450,4364680,9
1,5,151055,20,220,833760,4278670,5
3,33,522478,55,132,1600819,2223133,13
2,7,171160,3,308,330284,1890444,4
2,19,495776,85,855,724527,3983464,9
3,29,418566,58,29,1850432,9406778,6
2,17,587936,34,646,447363,2892439,9
2,12,308850,36,318,546312,2965176,13
2,15,485662,75,112,1220865,4066012,12
3,28,538916,84,28,988269,762169,15
3,39,587561,104,546,1528800,12652978,1
3,29,356816,19,38,1591307,5952723,8
2,22,688028,66,286,860167,1794914,4
3,37,269113,123,925,1419196,6275101,10
3,36,247872,60,924,836844,11503944,14
2,14,451647,21,658,1392181,929138,5
3,38,527313,25,1076,1499100,10310603,12
3,27,620262,72,621,692901,5309514,5
2,8,244872,12,84,554572,3419488,13
3,40,534693,133,1106,830066,12254373,11
2,17,199563,17,382,1044242,7112451,12
2,20,645790,10,30,1505990,7061870,9
1,6,208860,24,438,1177524,5985522,7
3,27,384399,9,450,1213605,2063871,1
3,25,623866,41,783,871116,7712158,6
3,29,632238,48,628,1035039,5607962,10
3,34,629045,90,850,807466,6344966,2
3,40,395226,26,1053,1253706,2272093,15
3,29,667947,87,618,1750382,3248125,2
3,38,600552,63,1026,1201864,6187907,4
3,33,454465,11,99,1288540,1388464,4
1,6,433404,60,546,934836,884868,15
3,38,769753,114,899,2083172,2927254,11
3,35,307883,81,431,2308051,11662618,10
1,1,31990,3,56,71383,312955,4
2,10,227425,15,470,400260,4543200,13
3,32,712789,96,938,899498,9596757,11
2,11,193039,44,445,717288,5355289,5
1,6,178788,42,84,310734,584826,11
2,14,288631,21,84,828814,2955953,8
2,18,468711,36,432,1545903,6771150,1
2,20,573740,30,630,1520230,2956890,13
1,5,372855,30,370,600240,1063325,1
3,26,623965,60,858,1191432,3455660,3
3,36,883464,84,744,1176084,7095756,1
2,12,176436,42,204,1149726,1748328,9
2,10,307990,30,265,757830,3688150,8
2,9,296023,18,216,829314,851305,4
3,40,743986,53,40,2035253,5333840,8
2,15,276810,30,562,488467,3301747,9
1,4,293804,36,164,782544,2549340,14
3,39,968578,26,754,851409,3630133,13
2,16,472912,64,16,785056,2117560,12
2,21,366586,10,1008,1363257,5913778,5
2,22,468127,22,770,829180,7813861,4
2,20,403760,80,390,1833280,9084520,3
2,21,761638,84,52,1495504,5303455,13
2,9,119722,31,117,729594,4373239,9
3,26,544162,52,667,1711008,7179735,13
2,10,278580,5,245,285010,3733015,12
2,23,861131,23,11,1578927,2577069,10
2,13,210021,39,26,1140230,5274698,2
3,34,733176,45,997,1111890,4409856,14
1,3,192138,18,192,272757,1637733,9
3,25,410625,25,775,668400,2291858,2
2,12,120396,48,210,981588,5361156,14
2,16,436208,64,416,452640,6015552,2
2,7,253277,10,283,405079,1882863,2
2,18,372357,72,774,1674612,3667167,1
3,38,477888,114,367,762799,11485386,11
2,8,219012,8,396,245040,3041344,14
3,34,392915,22,872,1931653,1114100,6
2,20,711620,80,40,1170170,2831330,15
3,26,279621,86,364,821236,977600,4
2,7,125349,17,17,374773,1086690,5
2,19,472406,66,950,1163930,7936965,14
3,34,641160,56,90,1026516,1122929,14
3,28,657729,74,28,1203272,8971834,4
2,10,359545,10,60,624620,2044075,15
3,30,294750,40,190,1776580,7903190,6
3,36,329880,120,792,1456524,1675572,9
3,37,729763,12,851,1771276,4123539,12
3,40,657200,53,320,1839226,1663733,4
2,11,301609,5,418,976811,1174437,5
2,11,141531,27,148,312983,2797030,4
2,22,518705,66,1012,2006906,603966,15
2,12,143478,42,336,869304,3745098,5
3,31,682082,72,888,1537651,5820126,9
2,15,209925,52,622,582885,1691677,15
3,39,707408,65,455,2275091,6343831,12
2,24,812400,120,84,619368,2247684,3
1,5,317315,25,490,398280,3533685,8
3,29,502280,9,357,1095262,5128099,8
2,14,373954,7,553,994168,549647,1
1,6,248820,54,168,636444,2384436,8
2,7,108304,3,343,412170,3329501,2
3,40,618306,80,506,765786,4838360,10
1,6,292170,42,42,563262,5733360,4
3,30,669480,30,70,1950700,6436250,10
2,15,271440,52,240,1012012,5658555,14
3,32,465664,106,1034,908298,2588938,15
1,6,327624,60,276,504444,5170716,11
3,27,457848,90,180,558351,2081430,14
1,6,275634,12,570,360648,2808276,7
3,28,431116,65,765,1264377,5279894,12
2,17,294329,68,408,927996,8269624,1
1,4,118232,12,292,236908,3303116,15
2,10,261300,5,350,718010,885440,1
2,9,213678,36,4,259357,2214486,3
3,26,196872,52,17,679813,1532258,7
2,18,284076,81,207,1171737,1120905,6
3,36,298248,48,1188,2060424,3697836,11
2,8,192728,24,216,593324,2556236,3
2,8,239772,28,248,723196,1459336,3
2,20,487100,100,440,1922220,6043650,9
3,31,562598,51,837,2056560,5495318,15
3,34,303110,11,487,2001104,9050052,15
2,22,254903,33,594,1802735,5000600,10
1,3,151194,24,237,568656,669402,5
3,36,819480,72,612,836448,1837836,14
3,36,683772,36,240,2040288,11230176,11
2,9,313339,45,436,799794,2173153,9
2,13,284771,6,117,827476,6435871,4
3,31,333239,62,795,1143042,6474949,1
3,26,508074,26,797,1249941,5808417,6
3,36,425652,108,1020,1824516,4171056,8
2,7,185822,35,143,527285,2036331,10
1,2,94320,16,68,382126,597410,2
1,3,88092,18,249,516894,476679,15
3,34,311542,113,997,712084,5206748,3
3,36,657516,60,468,1694952,2006196,7
2,11,235070,27,489,734041,4036950,10
2,9,131503,45,130,525316,3683695,9
2,8,98284,36,160,644240,957544,6
2,7,194925,35,94,672427,1017824,12
2,15,439237,37,652,1238062,827520,5
2,11,168844,55,489,954976,2029731,1
3,30,233630,90,720,1756630,7328260,1
2,20,366590,20,80,1548030,4645270,4
2,11,285208,22,225,1067594,4402777,11
1,3,197472,18,279,197781,2189811,4
2,20,667610,50,470,836480,9609770,4
3,35,637396,105,781,2185901,7038873,8
2,13,141602,19,338,435025,6228618,7
2,11,346494,16,104,985352,4306076,7
2,10,369720,50,100,847590,3203405,15
1,4,119072,4,284,591452,576912,11
2,22,649528,55,913,1339767,8759553,3
1,3,95652,30,90,261222,2922840,6
1,5,326105,10,260,404590,866680,9
1,3,151155,27,153,474609,213417,3
3,30,219920,80,930,1525130,7926970,15
1,3,204942,3,174,195465,1724778,2
2,19,375145,57,57,486457,5345802,4
3,30,220870,30,900,818580,9069380,5
1,1,45890,5,84,155103,920426,11
1,1,69485,3,66,111489,826988,8
2,15,188745,67,345,563002,2339310,3
3,30,645390,20,30,1268750,3256420,7
2,10,295075,45,250,823325,3807340,10
3,36,266064,96,36,1281804,1658856,1
2,7,131659,21,38,505354,1026497,10
1,5,109315,5,50,754120,342810,2
2,7,218515,10,7,472461,2885200,14
2,21,703405,10,472,1344126,9381634,5
3,30,426970,90,250,1788110,5699930,1
1,1,25962,5,15,145876,666966,9
2,19,481308,57,855,1040316,3046232,10
3,36,660312,36,480,1071516,10904976,4
2,18,327366,72,783,653481,2693682,8
1,6,247206,24,288,1129938,3901200,1
1,4,132268,36,96,319744,3002548,5
2,22,762960,66,539,1442661,6346934,13
2,15,230572,30,697,842212,5458755,9
3,27,513918,90,495,1353501,2761587,4
2,19,264651,19,76,1880059,1455846,15
3,29,213130,77,493,1792954,4869844,7
2,13,247897,19,435,882089,3515570,13
2,21,262374,42,987,1865188,7288281,9
2,18,247752,45,180,700497,852858,14
3,40,888040,93,1173,781560,2315120,12
2,10,272715,50,215,876230,1394550,8
1,5,334415,40,120,418010,4250030,7
3,37,339820,111,468,2133531,5570744,15
1,3,80673,30,30,392475,2058117,5
2,10,235880,5,335,914440,445350,9
2,23,793569,80,598,1650480,1601018,5
3,28,617642,28,746,978338,5620281,2
2,23,689241,103,747,740519,10314568,10
2,21,549003,73,651,1939812,7873425,1
2,22,480425,33,550,725417,9381207,15
2,22,472516,77,374,1495659,1022010,13
2,8,91280,4,152,300936,3133360,2
2,16,449352,32,456,1582024,6111040,7
1,5,112485,35,255,430190,2431160,13
3,27,343008,27,675,1598436,7538895,9
3,31,497167,62,754,1378394,7173544,15
1,5,123345,30,240,667405,3773805,6
3,32,280960,85,672,587872,2322453,9
2,23,768200,115,322,1458487,5653929,10
1,5,107520,15,440,822105,1447115,8
2,11,326139,11,451,1005592,4132034,11
2,13,149370,26,533,486421,5921844,8
3,25,435233,75,683,1565608,6978566,13
2,14,147007,70,385,814198,4034863,11
2,22,580404,22,154,2000966,9924717,9
3,38,732488,38,760,1001148,3790816,5
1,5,267740,50,285,307060,2306865,14
1,5,269685,45,315,446310,960825,2
3,34,527974,68,192,1028477,9416016,13
2,19,631531,9,218,1776766,6036224,5
2,7,131817,31,294,600064,2309874,2
3,28,397936,84,681,1520922,8417546,8
2,23,419692,23,379,1824705,5828970,9
3,37,754035,111,826,1519972,5264409,1
1,6,276114,54,534,556926,3095136,3
1,3,107997,18,108,292092,1135521,15
2,9,333756,31,180,612306,3798823,2
3,29,526031,9,551,1534486,2160268,3
3,27,217494,54,360,1720251,8139078,11
1,6,276588,24,186,460686,2182506,8
3,38,668306,76,734,2171890,10342827,14
3,34,737539,45,612,2159736,10818278,11
3,32,272586,64,106,1829536,10112704,1
2,10,272590,10,450,850890,1211210,1
3,28,396545,18,242,1510684,1912073,1
1,3,144921,21,300,589305,527454,4
3,27,217845,9,108,739233,8081370,2
1,3,194766,21,6,535257,2029920,12
3,35,629078,81,186,1469801,11098103,1
3,32,659125,21,149,574677,1513322,14
3,27,618840,63,81,502434,5583861,6
1,6,152322,54,246,1151310,999264,12
3,39,501241,26,728,2020109,10737662,4
2,18,544464,90,234,937494,3645252,5
2,9,229765,13,427,741321,1363032,9
1,5,254250,45,30,754205,2680285,4
3,27,554796,36,315,542160,6798852,8
1,5,294050,20,210,334050,1137750,1
1,5,333775,30,325,739120,4169035,3
3,38,705343,76,709,892708,10565178,8
2,12,140028,6,102,443226,3844014,8
3,39,530946,91,1105,2413021,12886939,14
2,11,296235,11,192,873977,5452507,14
2,9,166612,31,351,877716,1558539,9
3,27,290673,90,477,1694367,4317894,10
3,28,424984,9,112,709025,2448049,13
2,17,604035,59,289,1361360,1895865,10
2,20,415590,50,260,1760910,3772890,4
2,24,635292,84,156,1947552,10255752,11
3,28,542770,9,933,574280,3996216,12
3,37,335195,123,1097,1802381,4935282,8
2,15,470572,60,255,568080,3033930,1
3,38,866349,114,228,2152586,3129135,10
1,3,191784,15,90,331086,2879013,13
2,8,232516,40,212,661964,1275172,14
2,10,140955,45,400,507475,1812670,5
2,13,470697,6,156,999986,624143,10
3,30,222360,30,530,841980,4532710,8
1,1,30601,10,42,108075,855699,12
2,20,265350,40,430,565600,6524170,2
3,25,617900,83,733,489241,8315583,2
3,26,423167,52,338,750628,912747,12
3,25,201191,58,158,1260475,1888891,13
2,12,237510,30,240,860160,3211944,15
3,39,823199,39,273,2011022,10491689,15
2,13,322315,19,448,691717,4512131,14
1,6,175914,48,408,1175730,2775492,4
3,33,821447,88,1045,1597772,10383472,11
3,40,645120,80,413,1773466,9426813,15
2,18,368262,72,396,856494,5787711,8
1,3,151638,30,150,402519,2808507,11
1,5,211280,50,475,426870,4756740,1
3,36,248388,84,1164,1760412,8501640,7
2,9,107455,22,112,263925,1295739,6
3,39,901173,117,169,797784,7802483,8
3,27,637929,63,216,1099251,7510266,14
2,23,779585,80,46,1348168,3620361,5
2,23,361146,23,437,862707,833830,5
1,1,30339,1,61,115691,976099,15
2,23,498996,115,414,1594452,7118431,4
3,37,560118,111,308,2205989,4511508,12
2,17,295366,68,136,1261077,4549200,9
2,13,215273,39,273,1145274,1558121,15
3,38,608354,114,253,2169660,3295613,9
2,9,166216,13,369,548244,879804,12
2,22,789008,22,979,886699,8449012,15
1,2,119054,8,160,318364,313820,8
3,35,831436,58,35,2194021,10705496,11
3,29,700939,29,725,1313941,4333431,9
1,2,120922,16,32,258596,1573196,14
2,14,233898,49,301,1316343,6570410,2
2,21,576135,52,346,1683412,3911722,14
3,29,390030,87,831,733419,4198175,15
3,30,575980,40,550,1416800,7517210,6
1,2,73400,4,10,214282,1600892,7
3,35,275520,70,851,651501,7991281,5
3,25,610908,83,375,750766,7258566,9
3,32,213984,74,544,771978,3985130,14
3,32,514165,74,42,826944,7180832,14
3,30,307740,10,430,897990,2704530,9
2,20,431370,60,300,723150,4867160,9
3,35,766908,11,291,1654788,7783451,6
3,40,463413,40,493,1556573,10489333,9
2,15,458092,7,742,571230,1485517,1
3,30,609040,80,460,587370,4458390,8
1,2,90210,10,172,268742,1896456,5
3,31,409665,62,485,1133721,5376846,2
3,25,579850,8,158,1499466,3115883,7
2,9,290074,27,369,256383,2033190,3
2,18,641601,18,558,955656,5152338,9
2,17,425246,68,93,1201670,5285504,3
1,2,95530,6,164,342418,1051554,15
2,10,236030,35,110,274820,1234720,1
1,1,52863,6,47,56209,359842,1
2,21,672903,73,210,2003799,7490259,2
2,21,708225,84,955,1682131,2984772,12
2,17,366095,17,782,1360909,3143427,12
2,14,318073,63,336,670635,5413562,11
3,39,539370,104,39,1650337,7640438,10
3,27,198576,9,684,730125,8507862,2
2,24,416748,24,1128,1235100,9752784,13
3,34,527952,68,1020,1544234,8218786,14
2,16,444464,16,248,707472,3785080,8
2,7,199510,17,325,406553,602287,14
2,13,383097,52,364,1161049,5777954,4
1,4,159764,16,248,379604,3680096,14
3,27,567135,90,216,844578,3370743,1
1,1,63323,1,46,100026,310244,3
3,38,944781,101,63,2350895,11879889,2
3,26,601692,86,225,1203089,1991834,10
3,38,839698,50,202,777429,11446942,7
1,1,66710,7,81,150026,618542,13
2,15,185047,7,742,477547,6643080,11
3,38,593598,114,177,2003841,5616514,9
3,29,713264,58,145,1226226,6117733,12
2,16,426160,72,48,1273480,2386512,7
2,24,828324,120,60,975996,9713760,1
2,10,369365,50,435,476440,3154865,11
2,10,126375,35,110,608575,1906410,14
2,13,418184,52,58,367204,3553335,6
3,32,407573,85,928,1906666,7230293,15
3,38,344989,63,1178,1718676,3320630,1
3,37,595293,123,863,1426251,5924427,1
3,26,233826,26,147,553817,7850812,15
2,18,295830,90,486,1299546,3408651,3
3,40,303293,13,240,1715440,5446853,5
2,24,594888,12,1044,1684380,10829928,11
3,29,225117,19,570,1057398,6728734,12
1,1,24441,3,23,172569,261110,10
2,7,74158,21,150,520394,2627145,15
3,32,249706,53,117,1220202,6597290,5
2,23,803275,115,402,2152397,7026730,8
2,14,160671,70,91,1200500,4854101,4
3,37,579518,111,481,1461426,3769646,15
1,4,126920,24,52,629612,892680,2
1,1,46256,8,70,168778,572248,15
3,26,321178,52,702,1425727,4192569,14
2,14,328090,70,539,1164338,3823547,10
3,40,709813,13,413,1690293,5945986,9
1,2,52516,6,20,148378,532424,7
1,2,74840,12,10,351004,1178428,4
2,21,611425,10,619,682741,6175711,9
3,32,774784,64,21,1824074,1807264,8
1,3,114831,6,150,551256,2510394,4
2,14,242431,42,175,443611,4260795,9
2,13,376447,6,221,554138,3773932,10
2,15,249645,45,345,1409085,1932585,3
2,15,242280,15,472,432517,561022,3
3,35,242071,58,700,1654613,10395653,3
2,17,544093,25,841,1500964,2108824,4
2,19,630534,9,38,602727,2176478,14
3,26,360429,86,450,1477840,4005690,11
3,39,284414,65,572,1802918,2970318,7
3,34,446374,11,498,621882,2247275,7
3,31,434031,20,682,813729,2831498,1
2,7,229516,21,136,271134,2338395,12
2,14,337869,63,28,1398887,1524068,1
3,33,667172,88,275,1081245,10024916,7
3,29,428987,29,58,1404199,2363152,7
3,40,424186,133,1133,1616706,9311133,12
2,8,155788,8,300,716996,235480,4
1,3,153291,24,285,189801,2019633,13
3,31,763127,82,558,715469,1454220,2
2,19,688607,85,864,1015958,6495416,10
